Feature ID	W	Signif	Taxon	Consensus
fc10b3c4d5fde7f803fd7ee3913faf5d	2	False	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Coprococcus; s__uncultured_bacterium	0.6
5ab7769598266aa3cc665907ec476b82	2	False	d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Solobacterium	0.8
740ba29c6c30bce2c57d055dde9938ca	2	False	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Aeromonas	1.0
d9f715adb61c3c03304edf8db03d14da	2	False	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes	1.0
af7c6bf0e46dd165d4442ec7665ea805	2	False	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Citrobacter; s__Citrobacter_freundii	1.0
bba7962c72382d5f803e5df5497f9d83	2	False	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Neisseriaceae; g__Neisseria; s__uncultured_bacterium	0.7
5f6ebc862de2af3213efe0cba9aca577	2	False	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__UCG-005; s__uncultured_bacterium	1.0
d2696c19f0faff6c808757ae44bb4e04	2	False	d__Bacteria; p__Firmicutes; c__Bacilli; o__Izemoplasmatales; f__Izemoplasmatales; g__Izemoplasmatales	0.875
e154d9ec210b7d66bd788588eb6b2413	2	False	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_cellulosilyticus	0.6
a7b6288697e24b6c5806082a3d436fe9	2	False	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_fragilis	0.6
8473bab4d8ec3cd4c4f7f9493f7f015d	2	False	Unassigned	1.0
81a03808e4ed9a84703f0b7b267a8332	2	False	d__Bacteria; p__Firmicutes; c__Negativicutes; o__Acidaminococcales; f__Acidaminococcaceae; g__Phascolarctobacterium	1.0
